names,pvals_adj,logfoldchanges,scores,pts,pts_rest,cluster_name
AAEL011022,4.485991379325135e-29,6.926321,11.762145,0.462882096069869,0.009540329575021683,VM
AAEL013341,1.0666611946210102e-27,6.685737,11.4884405,0.45414847161572053,0.012575888985255855,VM
AAEL004631,2.2217799380153836e-27,7.122305,11.421821,0.45414847161572053,0.01821335646140503,VM
AAEL019682,1.5443952702918334e-25,5.36278,11.044157,0.4585152838427948,0.047701647875108416,VM
AAEL003117,7.461460558824752e-25,7.6246142,10.898792,0.4279475982532751,0.00838392599017057,VM
AAEL018219,1.4172996969809398e-24,4.82098,10.837349,0.45414847161572053,0.049002601908065914,VM
AAEL007306,7.086483540085444e-24,5.400948,10.686221,0.44541484716157204,0.04929170280427869,VM
AAEL019501,1.9905829437631634e-23,5.745135,10.584461,0.4279475982532751,0.024573576178086153,VM
AAEL005845,2.3264083807541256e-23,3.1366255,10.567208,0.519650655021834,0.17215958369470946,VM
AAEL023187,3.0426209834266645e-22,6.0560155,10.320636,0.4104803493449782,0.012431338537149466,VM
AAEL019568,4.9343140484341907e-20,1.8944436,9.817481,0.6462882096069869,0.43321769297484825,VM
AAEL019725,5.698643937621562e-20,6.703367,9.800325,0.388646288209607,0.012142237640936688,VM
AAEL001946,1.1304925841641225e-19,5.341418,9.728318,0.4104803493449782,0.051893610870193695,VM
AAEL025647,1.438030280270235e-18,7.5613317,9.458552,0.37117903930131,0.006071118820468344,VM
AAEL012704,2.431507848947022e-18,5.6339793,9.401048,0.38427947598253276,0.027609135588320323,VM
AAEL019812,3.392750856734288e-18,7.5587525,9.363563,0.36681222707423583,0.004914715235617231,VM
AAEL007963,3.898976842277962e-18,6.115957,9.346538,0.37117903930131,0.010696733159872795,VM
AAEL013684,8.350548757879136e-18,5.219127,9.263316,0.38427947598253276,0.03642671292281006,VM
AAEL007452,3.6063630658230045e-17,6.402795,9.101333,0.3624454148471616,0.012575888985255855,VM
AAEL003957,8.246330277955633e-17,1.6859941,9.008865,0.6069868995633187,0.3892743567505059,VM
AAEL019514,8.727071770330479e-16,6.944375,8.744129,0.34497816593886466,0.007661173749638624,VM
AAEL019418,8.745030933556574e-16,7.1049905,8.741704,0.34497816593886466,0.008094825093957791,VM
AAEL017012,1.805138325452731e-15,4.3173714,8.657294,0.38427947598253276,0.06880601329864122,VM
AAEL023258,3.5081502007718503e-15,4.675265,8.579053,0.3537117903930131,0.02486267707429893,VM
AAEL024598,4.39616592684113e-12,7.7797565,7.704876,0.30131004366812225,0.003035559410234172,VM
AAEL007407,5.0865509234527786e-12,7.76601,7.684075,0.30131004366812225,0.004336513443191674,VM
AAEL013353,6.1591933781808835e-12,1.7168217,7.657414,0.5327510917030568,0.36744723908644117,VM
AAEL011116,1.4809460109950156e-11,2.06629,7.5417695,0.47161572052401746,0.26149176062445795,VM
AAEL003104,2.5267249111442156e-11,7.3441215,7.469697,0.2925764192139738,0.00332466030644695,VM
AAEL013729,7.087471752520658e-11,3.734466,7.3306475,0.3406113537117904,0.07487713211910957,VM
AAEL004865,1.1295671641312411e-10,1.712973,7.2658343,0.519650655021834,0.3427291124602486,VM
AAEL025187,1.6106386683165833e-10,7.046493,7.213603,0.2838427947598253,0.004914715235617231,VM
AAEL010524,7.721131913274699e-10,7.371494,6.995075,0.27510917030567683,0.004770164787510842,VM
AAEL000713,9.934764584770028e-10,1.8589898,6.9575906,0.47161572052401746,0.27984966753396934,VM
AAEL012751,1.1684432169364117e-09,3.3868108,6.93259,0.32751091703056767,0.07299797629372651,VM
AAEL023701,1.5369463114031573e-09,4.9161124,6.889783,0.28820960698689957,0.026163631107256433,VM
AAEL004972,2.906937701659524e-09,7.3336873,6.796551,0.2663755458515284,0.003180109858340561,VM
AAEL024504,3.965533260721602e-09,6.9457407,6.749675,0.2663755458515284,0.005637467476149176,VM
AAEL002436,4.249107230779833e-09,5.2499404,6.737695,0.2794759825327511,0.02283897080080948,VM
AAEL024583,6.349392083534944e-09,6.941619,6.6733217,0.26200873362445415,0.003613761202659728,VM
AAEL019826,6.928191199410311e-09,3.546682,6.6586404,0.31877729257641924,0.0784908933217693,VM
AAEL008542,7.999944595185127e-09,2.6715915,6.635609,0.34934497816593885,0.11592945938132408,VM
AAEL025410,3.3464619914400114e-08,3.7479227,6.4137936,0.28820960698689957,0.047701647875108416,VM
AAEL019720,6.015115699843711e-08,5.330488,6.3166556,0.2576419213973799,0.015177797051170859,VM
AAEL019986,6.947578733748151e-08,3.6447701,6.2925825,0.2925764192139738,0.060277536860364266,VM
AAEL009712,7.867683077991701e-08,5.67494,6.2697954,0.2576419213973799,0.01806880601329864,VM
AAEL021016,8.327093924535525e-08,4.3441634,6.2592483,0.2925764192139738,0.06707140792136455,VM
AAEL013466,1.6190619828773103e-07,2.9990897,6.151303,0.3056768558951965,0.07950274645851402,VM
AAEL025091,1.663148338563892e-07,5.202487,6.145362,0.25327510917030566,0.01821335646140503,VM
AAEL019473,3.2512053872763744e-07,4.6227884,6.034714,0.2576419213973799,0.028910089621277824,VM
AAEL011302,8.188574236454902e-07,2.01986,5.8770604,0.3930131004366812,0.2260769008383926,VM
AAEL019737,1.041822004499587e-06,3.9885046,5.835409,0.2576419213973799,0.037438566059554784,VM
AAEL018320,1.1658648999393157e-06,3.7090535,5.8121986,0.26200873362445415,0.04307603353570396,VM
AAEL019885,1.1658648999393157e-06,3.7832687,5.8117757,0.2794759825327511,0.0692396646429604,VM
AAEL013203,1.9328427939596054e-06,3.8623412,5.718674,0.26200873362445415,0.04958080370049147,VM
AAEL019424,2.2404067166044067e-06,3.0402355,5.6904507,0.2838427947598253,0.07400982943047124,VM
AAEL008953,3.1345628688839327e-06,2.8334315,5.6282744,0.31004366812227074,0.11477305579647297,VM
AAEL008887,7.384714182875383e-06,4.0109167,5.4652004,0.2663755458515284,0.07068516912402428,VM
AAEL025552,7.7214940825177e-06,2.991066,5.4558578,0.2663755458515284,0.06331309627059845,VM
AAEL019939,2.8492048396488773e-05,3.0053554,5.1914954,0.27510917030567683,0.08991037872217404,VM
AAEL022285,0.00020344055786046788,1.2172107,4.79168,0.5021834061135371,0.3736629083550159,VM
AAEL018120,0.00020565830901865518,2.026663,4.788262,0.3231441048034934,0.16464296039317722,VM
AAEL013102,0.00025878756179806804,2.3959892,4.732629,0.26200873362445415,0.0891876264816421,VM
